Epoch 0  | Loss 3.7114134374260903
Epoch 1  | Loss 3.238121597568194
Epoch 2  | Loss 3.054154581675927
Epoch 3  | Loss 2.914086123406887
Epoch 4  | Loss 2.808482398192088
Epoch 5  | Loss 2.7258773658176265
Epoch 6  | Loss 2.658893833855788
Epoch 7  | Loss 2.6080398746331532
Epoch 8  | Loss 2.551237153559923
Epoch 9  | Loss 2.5160072918732963
Epoch 10  | Loss 2.4749410749971865
Epoch 11  | Loss 2.4327550794680914
Epoch 12  | Loss 2.402749320665995
Epoch 13  | Loss 2.374586317141851
Epoch 14  | Loss 2.3466702083746593
Epoch 15  | Loss 2.3170087612668673
Epoch 16  | Loss 2.294097491701444
Epoch 17  | Loss 2.2836111029982566
Epoch 18  | Loss 2.262562774171432
Epoch 19  | Loss 2.244407782107592
Epoch 20  | Loss 2.2302452285587786
Epoch 21  | Loss 2.2201847004890443
Epoch 22  | Loss 2.1950563967227934
Epoch 23  | Loss 2.2005453912417092
Epoch 24  | Loss 2.1740374575555323
Epoch 25  | Loss 2.1639287657787403
Epoch 26  | Loss 2.1545209626356763
Epoch 27  | Loss 2.145429148723682
Epoch 28  | Loss 2.1273842659592628
Epoch 29  | Loss 2.118375563447674
Epoch 30  | Loss 2.0998843773951132
Epoch 31  | Loss 2.1083381046851475
Epoch 32  | Loss 2.0965329226106406
Epoch 33  | Loss 2.076933713853359
Epoch 34  | Loss 2.075754498243332
Epoch 35  | Loss 2.0742208504925173
Epoch 36  | Loss 2.0593986519922813
Epoch 37  | Loss 2.0513987732181946
Epoch 38  | Loss 2.0460536804546914
Epoch 39  | Loss 2.0350125605116287
Epoch 40  | Loss 2.0308967441817125
Epoch 41  | Loss 2.0316373388717572
Epoch 42  | Loss 2.027289465293288
Epoch 43  | Loss 2.0097117212663096
Epoch 44  | Loss 2.0104565273225306
Epoch 45  | Loss 2.0141361891975005
Epoch 46  | Loss 1.999045088465015
Epoch 47  | Loss 1.9983940030386051
Epoch 48  | Loss 1.9857349380105733
Epoch 49  | Loss 1.9807384728640318
Epoch 50  | Loss 1.9796141004314025
Epoch 51  | Loss 1.9726735113809506
Epoch 52  | Loss 1.970112144301335
Epoch 53  | Loss 1.967526693319281
Epoch 54  | Loss 1.9598838778336842
Epoch 55  | Loss 1.9615111094961564
Epoch 56  | Loss 1.955775170326233
Epoch 57  | Loss 1.9431845160822074
Epoch 58  | Loss 1.938421680778265
Epoch 59  | Loss 1.9482265971849362
Epoch 60  | Loss 1.9239703176170588
Epoch 61  | Loss 1.9267021785179774
Epoch 62  | Loss 1.9292999301105738
Epoch 63  | Loss 1.9141596554219722
Epoch 64  | Loss 1.9224901230633258
Epoch 65  | Loss 1.9158464162548383
Epoch 66  | Loss 1.9006999600678682
Epoch 67  | Loss 1.9156722511102755
Epoch 68  | Loss 1.9072494126111268
Epoch 69  | Loss 1.9109536691009998
Epoch 70  | Loss 1.8987866067886352
Epoch 71  | Loss 1.909477501809597
Epoch 72  | Loss 1.8918999612579743
Epoch 73  | Loss 1.8868035914252201
Epoch 74  | Loss 1.889995018566648
Epoch 75  | Loss 1.89272831261158
Epoch 76  | Loss 1.8776231210927168
Epoch 77  | Loss 1.8834038356443246
Epoch 78  | Loss 1.8762552089244127
Epoch 79  | Loss 1.8760999260594446
Epoch 80  | Loss 1.869650950928529
Epoch 81  | Loss 1.8718140678107738
Epoch 82  | Loss 1.8655163116256397
Epoch 83  | Loss 1.8522635022054117
Epoch 84  | Loss 1.8725270737955968
Epoch 85  | Loss 1.8504161709050337
Epoch 86  | Loss 1.8524156056592862
Epoch 87  | Loss 1.8541970713436604
Epoch 88  | Loss 1.8569246572007736
Epoch 89  | Loss 1.853283027385672
Epoch 90  | Loss 1.840459707925717
Epoch 91  | Loss 1.8388165695468586
Epoch 92  | Loss 1.8409859567135571
Epoch 93  | Loss 1.8440280453612408
Epoch 94  | Loss 1.8436929020533959
Epoch 95  | Loss 1.838151463282605
Epoch 96  | Loss 1.8344546472777923
Epoch 97  | Loss 1.8227375360826652
Epoch 98  | Loss 1.8400589901208877
